data;ano;mes;trimestre;produto;categoria;vendedor;regiao;quantidade;preco_unitario;valor_total
08/04/2024;2024;4;2;Boné;Vestuário;Bruno;Norte;12;65;780
20/08/2024;2024;8;3;Regata;Acessórios;Carla;Leste;9;54;486
06/02/2024;2024;2;1;Bermuda;Acessórios;Elisa;Centro-Oeste;2;66;132
06/10/2024;2024;10;4;Cinto;Vestuário;Ana;Norte;3;30;90
14/12/2024;2024;12;4;Jaqueta;Acessórios;Carla;Oeste;12;172;2064
28/10/2024;2024;10;4;Regata;Acessórios;Carla;Leste;16;66;1056
29/06/2024;2024;6;2;Calça Jeans;Acessórios;Daniel;Oeste;1;170;170
04/04/2024;2024;4;2;Cinto;Calçados;Bruno;Norte;3;165;495
08/04/2024;2024;4;2;Regata;Calçados;Carla;Oeste;2;162;324
06/07/2024;2024;7;3;Tênis;Acessórios;Carla;Oeste;9;157;1413
25/04/2024;2024;4;2;Jaqueta;Acessórios;Elisa;Norte;19;156;2964
09/07/2024;2024;7;3;Tênis;Calçados;Elisa;Centro-Oeste;15;30;450
09/09/2024;2024;9;3;Jaqueta;Calçados;Ana;Oeste;18;193;3474
09/06/2024;2024;6;2;Calça Jeans;Vestuário;Daniel;Oeste;11;64;704
12/09/2024;2024;9;3;Cinto;Vestuário;Ana;Centro-Oeste;16;133;2128
18/11/2024;2024;11;4;Bermuda;Calçados;Elisa;Oeste;17;52;884
07/05/2024;2024;5;2;Tênis;Acessórios;Bruno;Oeste;5;38;190
18/01/2024;2024;1;1;Tênis;Acessórios;Elisa;Oeste;12;63;756
07/10/2024;2024;10;4;Meia;Acessórios;Daniel;Sul;11;157;1727
10/08/2024;2024;8;3;Jaqueta;Acessórios;Elisa;Centro-Oeste;15;33;495
23/02/2024;2024;2;1;Moletom;Vestuário;Daniel;Oeste;3;187;561
27/02/2024;2024;2;1;Cinto;Calçados;Daniel;Centro-Oeste;1;131;131
18/11/2024;2024;11;4;Jaqueta;Acessórios;Daniel;Leste;16;104;1664
25/12/2024;2024;12;4;Meia;Vestuário;Daniel;Leste;2;128;256
22/06/2024;2024;6;2;Camiseta;Acessórios;Daniel;Oeste;2;101;202
06/10/2024;2024;10;4;Jaqueta;Calçados;Bruno;Centro-Oeste;3;32;96
23/04/2024;2024;4;2;Bermuda;Vestuário;Ana;Centro-Oeste;8;171;1368
14/10/2024;2024;10;4;Cinto;Calçados;Carla;Centro-Oeste;15;63;945
07/12/2024;2024;12;4;Meia;Calçados;Ana;Sul;7;74;518
30/05/2024;2024;5;2;Camiseta;Vestuário;Daniel;Leste;6;90;540
06/05/2024;2024;5;2;Boné;Vestuário;Bruno;Centro-Oeste;9;112;1008
03/06/2024;2024;6;2;Meia;Vestuário;Elisa;Centro-Oeste;1;152;152
29/09/2024;2024;9;3;Boné;Vestuário;Bruno;Sul;8;131;1048
13/04/2024;2024;4;2;Cinto;Vestuário;Daniel;Sul;3;45;135
25/10/2024;2024;10;4;Tênis;Vestuário;Bruno;Centro-Oeste;4;95;380
02/09/2024;2024;9;3;Meia;Vestuário;Bruno;Norte;15;197;2955
24/06/2024;2024;6;2;Calça Jeans;Acessórios;Daniel;Centro-Oeste;6;174;1044
08/02/2024;2024;2;1;Boné;Calçados;Bruno;Centro-Oeste;15;148;2220
18/06/2024;2024;6;2;Bermuda;Vestuário;Carla;Sul;3;191;573
03/09/2024;2024;9;3;Calça Jeans;Acessórios;Carla;Sul;14;153;2142
26/01/2024;2024;1;1;Regata;Acessórios;Bruno;Centro-Oeste;14;173;2422
20/12/2024;2024;12;4;Regata;Acessórios;Elisa;Centro-Oeste;4;131;524
01/11/2024;2024;11;4;Camiseta;Calçados;Daniel;Centro-Oeste;12;95;1140
13/01/2024;2024;1;1;Tênis;Vestuário;Carla;Sul;17;42;714
11/11/2024;2024;11;4;Cinto;Acessórios;Elisa;Centro-Oeste;7;140;980
08/11/2024;2024;11;4;Meia;Calçados;Bruno;Centro-Oeste;9;188;1692
05/02/2024;2024;2;1;Moletom;Calçados;Elisa;Oeste;3;63;189
21/06/2024;2024;6;2;Bermuda;Calçados;Ana;Norte;13;68;884
20/01/2024;2024;1;1;Boné;Acessórios;Carla;Leste;15;165;2475
16/11/2024;2024;11;4;Cinto;Vestuário;Bruno;Norte;18;149;2682
20/09/2024;2024;9;3;Calça Jeans;Acessórios;Daniel;Oeste;19;155;2945
21/05/2024;2024;5;2;Regata;Acessórios;Bruno;Leste;1;84;84
22/05/2024;2024;5;2;Bermuda;Vestuário;Daniel;Centro-Oeste;6;56;336
01/04/2024;2024;4;2;Moletom;Vestuário;Bruno;Oeste;2;147;294
19/12/2024;2024;12;4;Meia;Vestuário;Elisa;Centro-Oeste;14;82;1148
17/11/2024;2024;11;4;Camiseta;Calçados;Elisa;Sul;6;68;408
14/10/2024;2024;10;4;Moletom;Vestuário;Elisa;Oeste;14;94;1316
02/08/2024;2024;8;3;Bermuda;Acessórios;Ana;Sul;4;174;696
07/12/2024;2024;12;4;Moletom;Vestuário;Daniel;Oeste;8;187;1496
20/02/2024;2024;2;1;Bermuda;Acessórios;Elisa;Oeste;3;42;126
01/06/2024;2024;6;2;Bermuda;Calçados;Ana;Sul;19;50;950
04/07/2024;2024;7;3;Jaqueta;Acessórios;Daniel;Leste;14;176;2464
03/03/2024;2024;3;1;Boné;Acessórios;Bruno;Norte;17;82;1394
08/07/2024;2024;7;3;Regata;Vestuário;Ana;Centro-Oeste;8;48;384
04/05/2024;2024;5;2;Jaqueta;Vestuário;Carla;Oeste;14;86;1204
29/05/2024;2024;5;2;Meia;Acessórios;Ana;Centro-Oeste;6;54;324
09/11/2024;2024;11;4;Jaqueta;Vestuário;Ana;Sul;16;60;960
27/02/2024;2024;2;1;Tênis;Calçados;Daniel;Centro-Oeste;19;110;2090
07/12/2024;2024;12;4;Tênis;Calçados;Bruno;Sul;14;52;728
31/10/2024;2024;10;4;Regata;Vestuário;Carla;Centro-Oeste;19;61;1159
28/06/2024;2024;6;2;Moletom;Calçados;Elisa;Norte;3;103;309
18/06/2024;2024;6;2;Boné;Vestuário;Elisa;Norte;10;39;390
21/11/2024;2024;11;4;Regata;Acessórios;Ana;Norte;19;83;1577
27/09/2024;2024;9;3;Bermuda;Acessórios;Daniel;Norte;9;81;729
23/02/2024;2024;2;1;Calça Jeans;Calçados;Daniel;Norte;13;177;2301
10/04/2024;2024;4;2;Boné;Vestuário;Elisa;Norte;7;189;1323
20/09/2024;2024;9;3;Boné;Vestuário;Carla;Sul;14;143;2002
22/02/2024;2024;2;1;Bermuda;Calçados;Bruno;Oeste;9;43;387
29/02/2024;2024;2;1;Bermuda;Acessórios;Carla;Centro-Oeste;19;185;3515
17/04/2024;2024;4;2;Camiseta;Calçados;Bruno;Norte;15;139;2085
05/01/2024;2024;1;1;Regata;Acessórios;Elisa;Sul;14;82;1148
12/04/2024;2024;4;2;Bermuda;Vestuário;Bruno;Sul;6;181;1086
14/07/2024;2024;7;3;Tênis;Acessórios;Daniel;Sul;4;108;432
18/09/2024;2024;9;3;Meia;Calçados;Ana;Oeste;8;51;408
30/12/2024;2024;12;4;Calça Jeans;Vestuário;Ana;Centro-Oeste;17;59;1003
15/12/2024;2024;12;4;Regata;Calçados;Elisa;Oeste;9;33;297
16/02/2024;2024;2;1;Cinto;Calçados;Daniel;Leste;1;88;88
20/12/2024;2024;12;4;Tênis;Acessórios;Carla;Sul;14;37;518
06/11/2024;2024;11;4;Moletom;Calçados;Daniel;Leste;11;41;451
03/11/2024;2024;11;4;Bermuda;Acessórios;Ana;Norte;3;148;444
23/05/2024;2024;5;2;Cinto;Vestuário;Ana;Norte;9;188;1692
25/09/2024;2024;9;3;Bermuda;Acessórios;Daniel;Oeste;14;63;882
03/05/2024;2024;5;2;Boné;Vestuário;Daniel;Centro-Oeste;9;111;999
15/04/2024;2024;4;2;Tênis;Acessórios;Ana;Leste;4;127;508
06/06/2024;2024;6;2;Boné;Calçados;Carla;Centro-Oeste;4;156;624
26/05/2024;2024;5;2;Camiseta;Acessórios;Elisa;Oeste;8;104;832
24/05/2024;2024;5;2;Boné;Acessórios;Elisa;Norte;2;134;268
29/04/2024;2024;4;2;Camiseta;Vestuário;Daniel;Centro-Oeste;9;78;702
14/11/2024;2024;11;4;Camiseta;Calçados;Elisa;Centro-Oeste;14;108;1512
01/10/2024;2024;10;4;Cinto;Acessórios;Ana;Norte;9;122;1098
01/04/2024;2024;4;2;Bermuda;Calçados;Ana;Leste;16;183;2928
27/02/2024;2024;2;1;Moletom;Acessórios;Daniel;Norte;17;47;799
11/12/2024;2024;12;4;Boné;Acessórios;Daniel;Centro-Oeste;16;125;2000
16/08/2024;2024;8;3;Tênis;Calçados;Daniel;Leste;12;67;804
26/04/2024;2024;4;2;Camiseta;Acessórios;Carla;Leste;3;116;348
13/11/2024;2024;11;4;Bermuda;Calçados;Elisa;Norte;11;117;1287
05/10/2024;2024;10;4;Calça Jeans;Acessórios;Daniel;Centro-Oeste;14;79;1106
06/05/2024;2024;5;2;Regata;Vestuário;Bruno;Oeste;18;37;666
08/05/2024;2024;5;2;Cinto;Calçados;Bruno;Centro-Oeste;5;198;990
27/02/2024;2024;2;1;Moletom;Acessórios;Ana;Sul;16;163;2608
01/05/2024;2024;5;2;Jaqueta;Acessórios;Elisa;Oeste;5;98;490
01/01/2024;2024;1;1;Cinto;Vestuário;Daniel;Leste;3;150;450
26/08/2024;2024;8;3;Calça Jeans;Calçados;Bruno;Oeste;12;93;1116
16/10/2024;2024;10;4;Regata;Acessórios;Elisa;Leste;1;186;186
05/04/2024;2024;4;2;Calça Jeans;Vestuário;Ana;Leste;9;185;1665
05/05/2024;2024;5;2;Boné;Acessórios;Carla;Oeste;9;168;1512
27/04/2024;2024;4;2;Camiseta;Calçados;Elisa;Leste;4;150;600
17/02/2024;2024;2;1;Moletom;Acessórios;Elisa;Leste;3;94;282
29/03/2024;2024;3;1;Meia;Acessórios;Carla;Sul;17;136;2312
24/08/2024;2024;8;3;Camiseta;Acessórios;Elisa;Centro-Oeste;2;176;352
28/09/2024;2024;9;3;Meia;Acessórios;Ana;Centro-Oeste;1;166;166
07/07/2024;2024;7;3;Regata;Vestuário;Ana;Sul;8;184;1472
10/07/2024;2024;7;3;Bermuda;Vestuário;Carla;Oeste;13;191;2483
09/03/2024;2024;3;1;Jaqueta;Calçados;Daniel;Norte;15;129;1935
04/10/2024;2024;10;4;Tênis;Vestuário;Bruno;Norte;8;111;888
14/12/2024;2024;12;4;Camiseta;Vestuário;Daniel;Norte;12;172;2064
03/09/2024;2024;9;3;Moletom;Calçados;Elisa;Sul;12;80;960
16/03/2024;2024;3;1;Calça Jeans;Vestuário;Bruno;Sul;14;170;2380
02/06/2024;2024;6;2;Moletom;Vestuário;Carla;Leste;15;112;1680
23/05/2024;2024;5;2;Regata;Calçados;Carla;Norte;15;141;2115
26/03/2024;2024;3;1;Meia;Calçados;Bruno;Oeste;9;85;765
03/07/2024;2024;7;3;Calça Jeans;Calçados;Ana;Oeste;19;194;3686
11/10/2024;2024;10;4;Tênis;Acessórios;Bruno;Norte;8;174;1392
07/08/2024;2024;8;3;Tênis;Acessórios;Elisa;Norte;19;186;3534
09/03/2024;2024;3;1;Camiseta;Calçados;Ana;Norte;6;190;1140
16/02/2024;2024;2;1;Regata;Calçados;Carla;Sul;19;89;1691
03/04/2024;2024;4;2;Bermuda;Calçados;Bruno;Sul;4;149;596
25/08/2024;2024;8;3;Regata;Acessórios;Daniel;Sul;7;167;1169
22/07/2024;2024;7;3;Meia;Acessórios;Daniel;Centro-Oeste;4;52;208
05/08/2024;2024;8;3;Moletom;Vestuário;Elisa;Oeste;12;178;2136
06/12/2024;2024;12;4;Tênis;Vestuário;Daniel;Oeste;13;42;546
08/02/2024;2024;2;1;Moletom;Calçados;Bruno;Leste;3;130;390
09/04/2024;2024;4;2;Moletom;Acessórios;Bruno;Sul;12;190;2280
15/10/2024;2024;10;4;Moletom;Acessórios;Daniel;Centro-Oeste;2;53;106
10/09/2024;2024;9;3;Tênis;Acessórios;Bruno;Centro-Oeste;2;137;274
09/08/2024;2024;8;3;Cinto;Calçados;Elisa;Oeste;9;40;360
22/12/2024;2024;12;4;Boné;Vestuário;Ana;Sul;1;46;46
23/01/2024;2024;1;1;Meia;Calçados;Elisa;Leste;8;54;432
06/09/2024;2024;9;3;Cinto;Vestuário;Elisa;Sul;6;123;738
10/01/2024;2024;1;1;Meia;Vestuário;Bruno;Norte;6;50;300
02/09/2024;2024;9;3;Calça Jeans;Calçados;Ana;Sul;18;113;2034
20/11/2024;2024;11;4;Regata;Vestuário;Bruno;Norte;17;169;2873
09/04/2024;2024;4;2;Regata;Vestuário;Carla;Norte;12;66;792
16/10/2024;2024;10;4;Jaqueta;Acessórios;Bruno;Leste;6;71;426
28/06/2024;2024;6;2;Regata;Vestuário;Bruno;Oeste;8;174;1392
10/08/2024;2024;8;3;Tênis;Calçados;Bruno;Sul;19;130;2470
06/09/2024;2024;9;3;Bermuda;Calçados;Ana;Norte;10;77;770
26/05/2024;2024;5;2;Camiseta;Vestuário;Bruno;Sul;1;132;132
05/04/2024;2024;4;2;Jaqueta;Acessórios;Ana;Oeste;13;57;741
13/09/2024;2024;9;3;Camiseta;Acessórios;Daniel;Oeste;17;70;1190
20/11/2024;2024;11;4;Meia;Vestuário;Carla;Centro-Oeste;3;128;384
04/01/2024;2024;1;1;Camiseta;Vestuário;Ana;Oeste;8;76;608
16/01/2024;2024;1;1;Camiseta;Calçados;Daniel;Leste;14;175;2450
06/10/2024;2024;10;4;Jaqueta;Vestuário;Ana;Norte;3;134;402
