id;data;produto;categoria;vendas;quantidade;vendedor;regiao;valor_total
377;11/01/2025;Boné;Acessórios;3661;11;Carla;Leste;40271
378;12/01/2025;Calça;Calçados;714;10;Bruno;Leste;7140
379;13/01/2025;Calça;Calçados;1282;18;Ana;Sul;23076
380;14/01/2025;Moletom;Calçados;3323;18;Bruno;Centro-Oeste;59814
381;15/01/2025;Calça;Vestuário;2767;17;Ana;Centro-Oeste;47039
382;16/01/2025;Moletom;Vestuário;230;8;Ana;Centro-Oeste;1840
383;17/01/2025;Camiseta;Vestuário;3083;15;Carla;Oeste;46245
384;18/01/2025;Boné;Vestuário;4378;8;Daniel;Centro-Oeste;35024
385;19/01/2025;Moletom;Calçados;4559;17;Bruno;Leste;77503
386;20/01/2025;Camiseta;Acessórios;138;12;Ana;Oeste;1656
387;21/01/2025;Calça;Vestuário;4059;8;Bruno;Norte;32472
388;22/01/2025;Calça;Vestuário;3687;14;Daniel;Centro-Oeste;51618
389;23/01/2025;Camiseta;Calçados;1020;4;Daniel;Centro-Oeste;4080
390;24/01/2025;Calça;Acessórios;2869;1;Elisa;Norte;2869
391;25/01/2025;Camiseta;Acessórios;4211;1;Daniel;Centro-Oeste;4211
392;26/01/2025;Moletom;Calçados;592;19;Carla;Norte;11248
393;27/01/2025;Moletom;Calçados;1231;16;Ana;Oeste;19696
394;28/01/2025;Camiseta;Acessórios;3621;14;Elisa;Leste;50694
395;29/01/2025;Moletom;Vestuário;410;16;Carla;Norte;6560
396;30/01/2025;Moletom;Acessórios;838;5;Bruno;Sul;4190
397;31/01/2025;Moletom;Calçados;3341;9;Ana;Norte;30069
398;01/02/2025;Tênis;Vestuário;645;2;Daniel;Centro-Oeste;1290
399;02/02/2025;Boné;Vestuário;2561;18;Ana;Oeste;46098
400;03/02/2025;Calça;Calçados;4446;6;Bruno;Oeste;26676
401;04/02/2025;Tênis;Calçados;4954;9;Elisa;Norte;44586
402;05/02/2025;Moletom;Calçados;1904;1;Elisa;Leste;1904
403;06/02/2025;Camiseta;Acessórios;3312;9;Elisa;Sul;29808
404;07/02/2025;Moletom;Acessórios;3910;16;Daniel;Oeste;62560
405;08/02/2025;Boné;Vestuário;913;13;Carla;Centro-Oeste;11869
406;09/02/2025;Moletom;Calçados;4224;9;Carla;Centro-Oeste;38016
407;10/02/2025;Camiseta;Vestuário;2132;13;Ana;Leste;27716
408;11/02/2025;Boné;Vestuário;4672;9;Daniel;Oeste;42048
409;12/02/2025;Moletom;Vestuário;4513;11;Elisa;Norte;49643
410;13/02/2025;Boné;Vestuário;344;4;Elisa;Centro-Oeste;1376
411;14/02/2025;Calça;Calçados;4943;2;Bruno;Leste;9886
412;15/02/2025;Calça;Vestuário;4892;6;Bruno;Oeste;29352
413;16/02/2025;Moletom;Calçados;371;14;Elisa;Oeste;5194
414;17/02/2025;Boné;Calçados;3611;4;Elisa;Oeste;14444
415;18/02/2025;Camiseta;Acessórios;1871;6;Daniel;Oeste;11226
416;19/02/2025;Moletom;Calçados;1362;19;Carla;Oeste;25878
417;20/02/2025;Calça;Acessórios;2524;6;Bruno;Centro-Oeste;15144
418;21/02/2025;Calça;Calçados;4461;2;Carla;Leste;8922
419;22/02/2025;Moletom;Calçados;1020;18;Daniel;Oeste;18360
420;23/02/2025;Boné;Calçados;3530;13;Elisa;Sul;45890
421;24/02/2025;Calça;Acessórios;4535;9;Carla;Sul;40815
422;25/02/2025;Boné;Acessórios;4584;19;Elisa;Leste;87096
423;26/02/2025;Calça;Vestuário;2724;13;Elisa;Norte;35412
424;27/02/2025;Calça;Acessórios;3860;11;Ana;Norte;42460
425;28/02/2025;Tênis;Acessórios;2150;1;Carla;Norte;2150
426;01/03/2025;Calça;Acessórios;3600;7;Carla;Sul;25200
427;02/03/2025;Camiseta;Acessórios;1265;15;Elisa;Norte;18975
428;03/03/2025;Moletom;Vestuário;475;1;Daniel;Centro-Oeste;475
429;04/03/2025;Moletom;Acessórios;2133;12;Ana;Oeste;25596
430;05/03/2025;Boné;Calçados;245;7;Elisa;Sul;1715
431;06/03/2025;Calça;Calçados;4488;15;Bruno;Leste;67320
432;07/03/2025;Camiseta;Acessórios;531;19;Bruno;Leste;10089
433;08/03/2025;Boné;Acessórios;804;1;Ana;Oeste;804
434;09/03/2025;Tênis;Calçados;2732;17;Daniel;Sul;46444
435;10/03/2025;Boné;Calçados;4594;17;Elisa;Norte;78098
436;11/03/2025;Boné;Vestuário;1063;3;Carla;Norte;3189
437;12/03/2025;Calça;Calçados;2334;12;Ana;Centro-Oeste;28008
438;13/03/2025;Tênis;Calçados;2141;6;Daniel;Centro-Oeste;12846
439;14/03/2025;Boné;Acessórios;1928;11;Carla;Norte;21208
440;15/03/2025;Camiseta;Calçados;2208;3;Bruno;Leste;6624
441;16/03/2025;Camiseta;Vestuário;4168;8;Bruno;Leste;33344
442;17/03/2025;Moletom;Calçados;1038;14;Carla;Centro-Oeste;14532
443;18/03/2025;Tênis;Acessórios;4905;14;Ana;Oeste;68670
444;19/03/2025;Tênis;Acessórios;906;10;Bruno;Norte;9060
445;20/03/2025;Moletom;Calçados;1563;2;Elisa;Centro-Oeste;3126
446;21/03/2025;Boné;Acessórios;3515;14;Carla;Centro-Oeste;49210
447;22/03/2025;Tênis;Vestuário;110;9;Carla;Norte;990
448;23/03/2025;Camiseta;Vestuário;1968;3;Bruno;Norte;5904
449;24/03/2025;Camiseta;Calçados;4967;8;Ana;Leste;39736
450;25/03/2025;Calça;Calçados;984;16;Elisa;Oeste;15744
451;26/03/2025;Tênis;Calçados;3664;2;Ana;Oeste;7328
452;27/03/2025;Boné;Acessórios;1489;6;Daniel;Norte;8934
453;28/03/2025;Moletom;Vestuário;3501;12;Daniel;Sul;42012
454;29/03/2025;Moletom;Vestuário;4421;5;Bruno;Centro-Oeste;22105
455;30/03/2025;Boné;Acessórios;924;2;Bruno;Centro-Oeste;1848
456;31/03/2025;Calça;Vestuário;2365;16;Bruno;Norte;37840
457;01/04/2025;Moletom;Calçados;1036;5;Daniel;Sul;5180
458;02/04/2025;Tênis;Calçados;2900;15;Ana;Leste;43500
459;03/04/2025;Calça;Calçados;2653;12;Ana;Norte;31836
460;04/04/2025;Tênis;Vestuário;3945;4;Bruno;Norte;15780
461;05/04/2025;Camiseta;Calçados;1896;15;Elisa;Centro-Oeste;28440
462;06/04/2025;Calça;Acessórios;153;11;Ana;Norte;1683
463;07/04/2025;Moletom;Acessórios;826;16;Daniel;Norte;13216
464;08/04/2025;Calça;Vestuário;2836;6;Carla;Norte;17016
465;09/04/2025;Calça;Acessórios;3270;14;Carla;Centro-Oeste;45780
466;10/04/2025;Calça;Acessórios;2013;18;Carla;Leste;36234
467;11/04/2025;Calça;Vestuário;1696;12;Elisa;Leste;20352
468;12/04/2025;Tênis;Calçados;2014;11;Bruno;Norte;22154
469;13/04/2025;Camiseta;Calçados;2566;13;Daniel;Centro-Oeste;33358
470;14/04/2025;Boné;Calçados;2837;11;Elisa;Leste;31207
471;15/04/2025;Calça;Vestuário;949;16;Daniel;Leste;15184
472;16/04/2025;Moletom;Acessórios;2209;15;Daniel;Leste;33135
473;17/04/2025;Calça;Calçados;102;15;Bruno;Centro-Oeste;1530
474;18/04/2025;Moletom;Calçados;4355;4;Carla;Centro-Oeste;17420
475;19/04/2025;Tênis;Vestuário;4169;11;Bruno;Norte;45859
476;20/04/2025;Moletom;Calçados;4976;19;Elisa;Oeste;94544
477;21/04/2025;Boné;Vestuário;992;15;Elisa;Leste;14880
478;22/04/2025;Camiseta;Acessórios;2130;4;Elisa;Oeste;8520
479;23/04/2025;Moletom;Vestuário;3260;13;Bruno;Centro-Oeste;42380
480;24/04/2025;Moletom;Vestuário;2476;19;Daniel;Centro-Oeste;47044
481;25/04/2025;Camiseta;Vestuário;4775;2;Daniel;Centro-Oeste;9550
482;26/04/2025;Boné;Vestuário;2033;14;Ana;Oeste;28462
483;27/04/2025;Calça;Acessórios;1480;4;Elisa;Centro-Oeste;5920
484;28/04/2025;Moletom;Acessórios;3781;16;Daniel;Norte;60496
485;29/04/2025;Camiseta;Calçados;1390;14;Ana;Centro-Oeste;19460
486;30/04/2025;Tênis;Acessórios;1740;15;Daniel;Sul;26100
487;01/05/2025;Camiseta;Acessórios;2782;3;Elisa;Oeste;8346
488;02/05/2025;Tênis;Calçados;1087;8;Carla;Sul;8696
489;03/05/2025;Boné;Acessórios;1318;16;Elisa;Centro-Oeste;21088
490;04/05/2025;Calça;Vestuário;1455;10;Bruno;Norte;14550
491;05/05/2025;Camiseta;Vestuário;4365;4;Daniel;Leste;17460
492;06/05/2025;Moletom;Calçados;4716;18;Daniel;Centro-Oeste;84888
493;07/05/2025;Boné;Calçados;4235;2;Bruno;Norte;8470
494;08/05/2025;Camiseta;Calçados;1660;17;Bruno;Oeste;28220
495;09/05/2025;Moletom;Vestuário;1518;13;Carla;Sul;19734
496;10/05/2025;Camiseta;Acessórios;1054;4;Daniel;Sul;4216
497;11/05/2025;Tênis;Vestuário;1083;11;Daniel;Sul;11913
498;12/05/2025;Camiseta;Calçados;1074;7;Carla;Oeste;7518
499;13/05/2025;Camiseta;Acessórios;4233;12;Ana;Norte;50796
500;14/05/2025;Camiseta;Acessórios;4072;10;Carla;Oeste;40720
